CRS,Tiploc,Description,Stannox
,AULDGTH,AULDGIRTH,9016
,AULNOYE,AULNOYE,746
XAF,AVEBRED,AVEBURY RED LION,0
,AVIEA29,AVIEMORE SIGNAL HA313,1137
,AVIEDRS,AVIEMORE DOWN REFUGE SDG,1140
AVM,AVIEMRE,AVIEMORE,1144
,AVIEMRS,AVIEMORE (SPEYSIDE),1142
,AVIESGB,AVIEMORE (SPEYSIDE) GBRF,1149
,AVIEURS,AVIEMORE UP REFUGE SDG CE,1141
AVI,AVIGCMT,AVIGNON C M T,783
,AVIGVIL,AVIGNON VILLE,783
AVF,AVNCLFF,AVONCLIFF,82073
,AVON4,AVONMOUTH SIGNAL SA4,81243
,AVONBEN,AVONMOUTH BENNETS SIDING,81228
,AVONBFH,AVONMOUTH BENNETS SDG,81249
,AVONBHT,AVONMOUTH BBHT COAL SILOS,81235
,AVONCOL,AVONMOUTH COAL SILO(COLAS),81234
,AVONCT,AVONMOUTH CTR TERMAL EWS,81231
,AVONDKJ,AVONMOUTH DOCK JN,81240
,AVONGBR,AVONMOUTH WEST WHARF GBRF,81219
,AVONHAN,AVONMOUTH HANSONS SIDING,81233
,AVONHFH,AVONMOUTH HANSON AGG. (FH),81218
,AVONHGB,AVONMOUTH HANSON SDG GBRF,81244
,AVONILS,AVONMOUTH ENTERPRISE,81239
,AVONMCM,AVONMTH CHITTENING ESTATE,81245
AVN,AVONMTH,AVONMOUTH,81240
,AVONNP2,AVONMOUTH NTL PWR SILO 2,81238
,AVONNPT,AVONMOUTH NTL PWR SILO 1,81237
,AVONRCK,AVONMOUTH ROCKINGHAM ROAD,81242
,AVONWFH,AVONMOUTH WEST WARF (FHH),81227
,AVONWWF,AVONMOUTH NO. 5 WHARF EWS,81229
,AWRE,AWRE,76076
,AXMNSEJ,AXMINSTER EAST JUNCTION,83457
,AXMNSSA,AXMINSTER STATION APPROACH,0
AXM,AXMNSTR,AXMINSTER,83466
,AXMNSTS,AXMINSTER STATION,0
,AXMNSWJ,AXMINSTER WEST JUNCTION,83456
AYL,AYLESFD,AYLESFORD,89309
,AYLS302,AYLESBURY SIG ME302,70349
,AYLS792,AYLESBURY SIG ME792,70350
,AYLSBCH,AYLESBURY BRANCH SDG,70348
,AYLSBRS,AYLESBURY (SDGS 1-7),70354
AYS,AYLSBRY,AYLESBURY,70353
,AYLSCCD,AYLESBURY C.C.D.,70352
,AYLSDMU,AYLESBURY D.M.U. DEPOT,70354
,AYLSNL,AYLESBURY NORTH LOOP,70351
AVP,AYLSPWY,AYLESBURY VALE PARKWAY,70355
,AYLSVJN,AYLESBURY VALE JUNCTION,70356
,AYLSWAD,WADDESDON MANOR,70343
,AYNH501,AYNHO JN SIG BS501,69443
,AYNH502,AYNHO SIG BS5002,69444
XAN,AYNHOJ,AYNHO JN,69440
,AYNHPKJ,AYNHO PARK JN,69441
,AYNHUGL,AYNHO UP GOODS LOOP,69442
AYR,AYRR,AYR,8618
,AYRR335,AYR SIG. PA335,8604
,AYRR853,AYR SIG. PA853,8617
,AYRR859,AYR SIG 859,8616
,AYRRABP,AYR HARBOUR A.B.P.,8607
XAR,AYRRCSD,AYR C.S.D.,8621
,AYRRFHH,AYR HARBOUR FHH,8608
,AYRRHBR,AYR HARBOUR,8607
,AYRRSTE,AYR S.& T.E.,0
,AYRRWRD,AYR W.R.D.,8615
,AYSHMS,AYLSHAM SOUTH,0
,BABWTHL,BABWORTH LOOP,23490
BAC,BACHE,BACHE,38306
,BADMTN,BADMINGTON,81003
BNA,BAGE,BURNAGE,32522
,BAGLYFJ,BAGULEY FOLD JN,32123
BAG,BAGSHOT,BAGSHOT,87102
,BAGWDES,DESFORD,58138
,BAGWJRS,BAGWORTH JN REFUGE SDGS,58136
,BAGWKM,KIRBY MUXLOE,58140
,BAGWTHJ,BAGWORTH JCN,58135
BLD,BAILDON,BAILDON,17038
,BAISIEU,BAISIEUX (SNCF/SNCB BRDR),738
,BAKECH,CHATSWORTH HOUSE,0
BKZ,BAKEWEL,BAKEWELL SQUARE,0
,BALCMTJ,BALCOMBE TUNNEL JN,87927
BAB,BALCOMB,BALCOMBE,87963
,BALD242,BALDOCK SIGNAL K242,53014
BDK,BALDOCK,BALDOCK,53015
BAL,BALHAM,BALHAM,87222
,BALHJN,BALHAM JN,87225
BIO,BALISTN,BAILLIESTON,7296
BHC,BALLOCH,BALLOCH,6121
BSI,BALMOSS,BALMOSSIE,3040
,BALSHWL,BALSHAW LANE,30165
BAM,BAMFORD,BAMFORD,34011
BNV,BANAVIE,BANAVIE,6013
,BANG37,BANGOR SIG.BR37,40032
,BANGB32,BANGOR SIG BR32,40033
BNG,BANGOR,BANGOR (GWYNEDD),40036
,BANGRCS,BANGOR C.S.,40040
,BANGRTC,BANGOR TUNNEL CEMENT,40035
,BANSBUS,BANSTEAD (FIRTREE ROAD),0
BAD,BANSTED,BANSTEAD,87677
,BARA275,BARASSIE JN SIGNAL 275,8414
,BARACE,BARASSIE C.E.,8409
,BARADPL,BARASSIE JN D.P.L.,8410
,BARAFHH,BARASSIE YARD FHH,8408
,BARAGBR,BARASSIE YARD GBRF,8407
,BARASCP,SHEWALTON COUP C.E.,8501
BSS,BARASIE,BARASSIE,8411
,BARASIJ,BARASSIE JN,8413
,BARAUGL,BARASSIE JN U.G.L.,8412
,BARAYRD,BARASSIE FLHH SDGS 3 & 4,8406
,BARCEMR,BARCELONA EL MORROT,215
