CRS,Tiploc,Description,Stannox
,BARDFHH,BARDON HILL QUARRY FHH,58114
,BARDGBR,BARDON HILL GBRF,58112
,BARDHBR,BARDON HILL B.R. SDGS,58113
,BARDHGF,BARDON HILL GROUND FRAME,58115
,BARDNHQ,BARDON HILL QUARRY,58111
,BARDONH,BARDON HILL,58109
BAR,BARELA,BARE LANE,11711
,BARELAJ,BARE LANE JUNCTION,0
BGD,BARGOED,BARGOED,78351
,BARGSDG,BARGOED VIADUCT SIDINGS,78352
,BARH379,BARHAM GROUND SIG C01379,49017
,BARHAM,BARHAM,49018
,BARHFHH,BARHAM FHH,49019
,BARK103,BARKING SIGNAL 1103,51531
,BARK104,BARKING SIGNAL 1104,51531
,BARKG1P,BARKING NO 1 PLATFORM,51531
,BARKG21,BARKING SIGNAL BK 21,0
,BARKG7P,BARKING NO7 PLATFORM,51531
ZKB,BARKGLT,BARKING L.T.,51532
BKG,BARKING,BARKING,51531
,BARKNGJ,BARKING STATION JUNCTION,51530
,BARKUPJ,BARKING UPNEY JUNCTION,51529
BPL,BARLSOP,BARLASTON ORCHARD PLACE,0
BRT,BARLSTN,BARLASTON,43306
BMG,BARMING,BARMING,89402
,BARN090,BARNES SIGNAL W1090,87166
BNS,BARNES,BARNES,87149
,BARO54,BARROW-N-FRNS SIG 52/53/54,11232
,BAROSHJ,SALTHOUSE JN,11259
BIF,BAROW,BARROW-IN-FURNESS,11231
XBF,BAROWCS,BARROW C.S.,11233
,BAROWEW,BARROW DOCKS (ABP),11247
,BAROWHS,BARROW L.I.P.,11231
BWS,BAROWOS,BARROW UPON SOAR,59009
,BAROWRD,BARROW MARINE TERMINAL,11243
,BAROWYD,BARROW-IN-FURNESS T.C.,11249
,BARRABP,BARRY DOCKS ABP SHIPMENT,78802
,BARRB49,BARRY SIGNAL B49,78815
,BARRBPC,BARRY DOCKS ZEON,78804
,BARRDCG,BARRY DOCKS DOW CHEMICALS,78809
,BARRDGL,BARRY DOWN GOODS LOOP,78899
,BARRDNS,BARRY DKS ABP NONSHIPMENT,78811
,BARRDUN,BARRY DOCKS DUNN BROS,78807
,BARREWS,BARRY DOCKS DBC,78803
,BARRHEX,BARRY DOCKS HEXION,78806
,BARRICR,BARRY ISLAND COLAS RAIL,78818
,BARRSMT,BARRY DOCKS SAMAT TERMINAL,78814
BRY,BARRY,BARRY,78810
BYD,BARRYDK,BARRY DOCKS,78805
,BARRYDS,BARRY DOWN SIDING,78118
BYI,BARRYIS,BARRY ISLAND,78817
,BARRYTR,BARRY TOURIST RAILWAY,78816
BAV,BARWHVN,BARROW HAVEN,21004
,BASCSDG,BASCHURCH LC,64123
,BASEL,BASEL,506
,BASESGG,BASEL SBB GB GTI,505
,BASFORD,BASFORD,55118
BSO,BASILDN,BASILDON,51019
BBL,BATABAL,BAT & BALL,89349
XDO,BATHBUS,BATH BUS STATION,0
,BATHGSL,BATH GOODS LOOP,81500
,BATHSDG,BATH SIDINGS,81506
BTH,BATHSPA,BATH SPA,81501
BTL,BATLEY,BATLEY,18437
,BATR571,BATTERSEA REVRSIBLE GPL571,87278
,BATRPHS,BATTERSEA PIER C.H.S.,87239
,BATRSH,BATTERSEA PIER STAFF HALT,87239
,BATRSPJ,BATTERSEA PIER JN.,87199
BAK,BATRSPK,BATTERSEA PARK,87203
,BATRSYD,BATTERSEA LOOP,87239
,BATT2XO,BATTLE NO 2 XOVER,89385
BAT,BATTLE,BATTLE,89398
BAY,BAYFORD,BAYFORD,53243
,BAYHORS,BAY HORSE,11725
,BBGHGL,BARTON & BROUGHTON PASS LP,30106
,BCHBKFM,BEECHBROOK FARM LOOP,89415
BCG,BCHGRV,BIRCHGROVE,78387
,BCKFOOT,BECKFOOT,0
XUK,BCKJN,BUCKLAND JN,89521
XBU,BCKLWCS,BUCKLEY WELLS CS(E.L.RLY),0
,BCKN167,BECKENHAM JN SIGNAL VS167,88556
,BCKN607,BECKENHAM JN SIGNAL VS607,88316
,BCKNBUS,BECKENHAM JN (UP SIDE-BUS),0
,BCKNDSG,BECKENHAM DOWN SIDINGS,0
BEC,BCKNHMH,BECKENHAM HILL,88472
BKJ,BCKNHMJ,BECKENHAM JUNCTION,88315
,BCKNMJC,BECKENHAM JUNCTION,88315
,BCKNSPR,BECKENHAM SPUR,88543
,BCKW530,BLACKWATER SIGNAL WM530,87011
BAW,BCKWATR,BLACKWATER,87009
BCK,BCKY,BUCKLEY,41019
BCH,BCNGNOS,BIRCHINGTON-ON-SEA,89479
BCF,BCNSFLD,BEACONSFIELD,73502
,BCNSWHI,WHITEHOUSE TUNNEL,73504
,BCST024,BICESTER SIG OB9024,74566
,BCST032,BICESTER SIG ME2032,74563
,BCST189,BICESTER NTH SIG 189,69507
,BCST192,BICESTER NTH SIG 192,69509
,BCST196,BICESTER SIGNAL ME2034,69503
,BCST210,BICESTER SIG ME210,74567
,BCST792,BICESTER SIG OB1792,74564
,BCST794,BICESTER SIG OB1794,74565
,BCSTARD,ARDLEY,69450
,BCSTBLA,BLACKTHORNE,69504
XEZ,BCSTBUS,BICESTER BURE PLACE,0
,BCSTCOD,BICESTER C.O.D.,74554
,BCSTDEJ,BICESTER DEPOT EAST JN,74556
,BCSTDRL,BICESTER DEPOT-GL-RR,74559
,BCSTDWJ,BICESTER DEPOT WEST JN,74560
,BCSTES,BICESTER NORTH ENG SDG,69501
,BCSTGBF,BICESTER MOD GBRF,74549
,BCSTGF,BICESTER DEPOT SIG OB5009,74553
,BCSTGJN,BICESTER GAVRAY JUNCTION,74562
,BCSTLRD,BICESTER LONDON RD L.C.,74555
BCS,BCSTN,BICESTER NORTH,69502
BIT,BCSTRTN,BICESTER VILLAGE,74557
XJV,BCSTSJ,BICESTER SOUTH JUNCTION,74561
,BCSTUS,BICESTER NORTH TURNBACK SG,69499
BWO,BCWD,BRICKET WOOD,71036
,BDENJT,BURNDEN JN,31615
,BDHMNRD,BEDHAMPTON NEW ROAD,0
BDH,BDHMPTN,BEDHAMPTON,86339
BDC,BDICK,BRODICK,0
,BDLNMHJ,MARCHEYS HOUSE JN,12238
,BDLNTNS,BEDL'TON FURNACEWAY SDGS,12241
,BDLNTNX,BEDLINGTON NTH. L.C.,12236
BMT,BDMNSTR,BEDMINSTER,81813
,BDNHABD,BRANDON HABD,46245
,BDST544,BIDSTON SIGNAL 1544,38015
,BDSTNDJ,BIDSTON DEE JN,38019
,BDSTNEJ,BIDSTON EAST JN,38014
BID,BDSTON,BIDSTON,38012
,BDSTSDG,BIDSTON SIDINGS,38013
,BDWTHMS,BEDWORTH MURCO SDGS,69104
,BEAL,BEAL L.C.,12105
,BEAL134,BEAL CROSSOVERS TW134,12103
,BEAL136,BEAL CROSSOVERS TW136,12101
,BEALSMA,SMEAFIELD,12108
,BEAMMLJ,BEAM MILL JN.,15628
BER,BEARLEY,BEARLEY,66454
,BEARLYJ,BEARLEY JN,66453
BSL,BEASDAL,BEASDALE,6005
,BEAT716,BEATTOCK SIG MC716,8011
,BEAT725,BEATTOCK SIG MC725,7999
,BEAT729,BEATTOCK SIG MC729,8014
,BEATCK,BEATTOCK,7977
,BEATCKS,BEATTOCK SUMMIT,7975
,BEATDNS,BEATTOCK DOWN SDGS,7978
,BEATDPL,BEATTOCK D.P.L.,7995
,BEATSDL,BEATTOCK SUMMIT D.P.L.,7974
,BEATSUL,BEATTOCK SUMMIT U.P.L.,7973
,BEATUPL,BEATTOCK U.P.L.,7976
,BEATUPS,BEATTOCK UP SDGS,7996
,BEATUSS,BEATTOCK UP SUMMIT SDGS,7987
BEL,BEAULY,BEAULY,1089
BEB,BEBNGTN,BEBINGTON,38208
BCC,BECCLES,BECCLES,49103
,BECKBPA,WALKERINGHAM B.P.A.,23504
,BECKGHM,BECKINGHAM LOOP,23507
,BECKHAX,HAXEY & EPWORTH CROSSOVER,23503
ZBZ,BECNTRE,BECONTREE,0
,BEDF603,BEDFORD SIGNAL 603,62010
XDW,BEDFBUS,BEDFORD BUS STATION,0
,BEDFDCD,BEDFORD CAULDWELL DEPOT,62015
,BEDFDCS,BEDFORD C S,62014
,BEDFDJS,BEDFORD JOWETT SIDINGS,62022
BDM,BEDFDM,BEDFORD,62011
,BEDFDN,BEDFORD NORTH JN.,62008
,BEDFDNS,BEDFORD NORTH SIDINGS,62009
,BEDFDS,BEDFORD SOUTH JN.,62016
,BEDFDWR,BEDFORD WASH ROAD,62021
,BEDFEGS,BEDFORD ENGINEERS SDGS,62017
,BEDFMIL,MILLBROOK,62198
,BEDWGF,BEDWORTH GROUND FRAME,69105
,BEDWPUM,BEDWORTH PUMA GBRF,69109
BEH,BEDWRTH,BEDWORTH,69106
BDW,BEDYN,BEDWYN,74816
,BEDYNRS,BEDWYN REVERSING SIDING,74823
,BEGHFHH,WESTTHORPE RUN ROUND (FHH),25836
,BEGHT28,WESTHORPE (BEIGHTON) S1028,25828
,BEGHT29,WESTHORPE (BEIGHTON) S1029,25829
,BEGHT30,WESTHORPE (BEIGHTON) S1030,25830
,BEGHT33,WESTHORPE (BEIGHTON) S1033,25832
,BEGHT34,WESTHORPE (BEIGHTON) S1034,25833
,BEGHTJN,BEIGHTON JN,25831
,BEGHTSJ,BEIGHTON STATION JN,25825
,BEGHWES,WESTTHORPE RUN ROUND,25835
BKS,BEKSBRN,BEKESBOURNE,89513
BFB,BELFBUS,BELFORD BUS,0
,BELFDRS,BELFORD DOWN RECESS SDGS,12107
,BELFORD,BELFORD L.C.,12106
,BELFTS,BELFORD TAMPER SIDINGS,12114
,BELINGS,BEALINGS,49125
BLM,BELM,BELMONT,87675
,BELN688,BELLINGHAM SIGNAL VS688,0
BGM,BELNGHM,BELLINGHAM,88471
,BELNGMS,BELLINGHAM SIDING,88484
BLP,BELPER,BELPER,57111
,BELTLC,BELMONT L.C. AYRSHIRE,8620
BVD,BELVEDR,BELVEDERE,88602
,BELWTRJ,BELLWATER JN. S.B.,44221
,BEMPSPE,SPEETON,19005
BEM,BEMPTON,BEMPTON,19006
BEF,BENFLET,BENFLEET,51014
,BENHACE,BENHAR JN C.E.,7437
XJB,BENHARJ,BENHAR JN,7435
,BENIFAY,BENIFAYO-ALMOSAFES,232
,BENTKIL,KILLINGWORTH,12139
BNO,BENTMET,BENTON (METRO),12419
,BENTON,BENTON NTH JN,12255
BAS,BEREALS,BERE ALSTON,84207
BFE,BEREFRS,BERE FERRERS,84205
BKM,BERKHMD,BERKHAMSTED,70421
BEP,BERMPRK,BERMUDA PARK,69103
BBW,BERRYB,BERRY BROW,18488
,BERW362,BERWICK SIG 1362,88245
BRK,BERWICK,BERWICK,88246
,BERYDNJ,BERRYDEN JUNCTION,2069
BES,BESCRLA,BESCAR LANE,35018
,BESJGL,BEDFORD ST JOHNS G.L.,62036
BSJ,BESJOHN,BEDFORD ST JOHNS,62035
,BESSCRJ,BESSACARR JN,23475
,BEST918,BEESTON SIG TN4918,55222
,BEST931,BEESTON SIG TN4931,55225
,BESTFHH,BEESTON SIMS METALS FHH,55218
,BESTGBR,BEESTON SIMS METALS GBRF,55220
,BESTHST,BEESTON HEADSHUNT,55224
,BESTNCS,BEESTON CEMENT SDGS,55211
,BESTNMC,BEESTON SIMS MCINTYRE LTD,55216
,BESTNNJ,BEESTON NORTH JN,55217
,BESTNSJ,BEESTON SOUTH JN,55213
BEE,BESTON,BEESTON,55212
,BESTONG,BEESTON SIDINGS GBRF,55210
,BESTONS,BEESTON SIDINGS,55215
,BESTRR,BEESTON RUN ROUND,55223
,BESTTSB,BEESTON CASTLE & T. S. B.,42113
,BETLRSB,BETLEY ROAD SB,42300
BYC,BETSYCD,BETWS-Y-COED,40061
BBR,BETTMBG,BETTEMBOURG,889
BEV,BEVERLY,BEVERLEY,19023
BEW,BEWDLEY,BEWDLEY,0
,BEXH14,BEXHILL SHUNT SIGNAL 1435,88267
,BEXHGF,BEXHILL GROUND FRAME,88268
BEX,BEXHILL,BEXHILL,88275
BXY,BEXLEY,BEXLEY,88463
,BGEDSLJ,BARGOED SINGLE LINE JN,78350
,BGHD,BURGHEAD,2003
BAJ,BGLAN,BAGLAN,79607
,BGLNBBP,BAGLAN BAY BP CHEML EWS,79611
,BGLNBC,BAGLAN BAY (COLAS),79613
,BGLNBPF,BAGLAN BAY BP CHEM FLIN HH,79612
,BGLNRPT,BAGLAN BAY RPT (COLAS),79614
,BGLW203,BURNGULLOW SHUNT SIG P203,85406
,BGLWECC,BURNGULLOW E.C.C.,85402
,BGLWFHH,BURNGULLOW (FLHH),85404
,BGLWJN,BURNGULLOW JN,85401
BEA,BGOALAN,BRIDGE OF ALLAN,3165
BTG,BGRN,BARNT GREEN,66525
,BGSDEJN,BOGSIDE JUNCTION,8303
,BHAM190,B'HAM MOOR ST SIG WM190,66407
,BHAM459,B'HAM SNOW HILL SIGNAL 459,66406
XFG,BHAMAIR,BIRMINGHAM AIRPORT (BUS),0
,BHAMINJ,BIRMINGHAM INTER NORTH JN,69214
BHI,BHAMINT,BIRMINGHAM INTERNATIONAL,69215
,BHAMISJ,BIRMINGHAM INTER SOUTH JN,69216
JEQ,BHAMJEW,JEWELLERY QUARTER,65210
BMO,BHAMMRS,BIRMINGHAM MOOR STREET,66411
,BHAMMS2,BIRMINGHAM MOOR ST SDG 2,66410
,BHAMMSS,BIRMINGHAM MOOR ST SDG 1,66418
,BHAMNBL,BIRMINGHAM NEW ST BALLAST,65629
XNE,BHAMNEC,BIRMINGHAM INT'L BUS STN,0
,BHAMNHS,BIRMINGHAM NEW STREET H.S.,65630
BHM,BHAMNWS,BIRMINGHAM NEW STREET,65630
,BHAMQHS,QUEEN'S HEAD SIGNAL SJ606,65213
,BHAMSHT,BIRMINGHAM SNOW HILL T/B S,66408
BSW,BHAMSNH,BIRMINGHAM SNOW HILL,66409
,BHAMSYJ,DUDDESTON JN,66327
BHK,BHILLPK,BUSH HILL PARK,51947
,BHLP,BARNHILL (PERTH),3095
,BICK35,BICKLEY JNC SIGNAL AD35,88527
,BICK626,BICKLEY SIGNAL VS626,88532
BKL,BICKLEY,BICKLEY,88478
XLY,BICKLYJ,BICKLEY JN,88479
,BIGL235,BIGGLESWADE SIG K235,45614
,BIGLPL,BIGGLESWADE PLASMOR,45612
BIW,BIGLSWD,BIGGLESWADE,45611
BBK,BILBROK,BILBROOK,65035
,BILE572,LIVERPOOL STREET SIG L572,50332
BIC,BILERCY,BILLERICAY,50327
,BILS143,BILLINSHURST SIGNAL T1430,87990
,BILS862,BILLINGSHURST SIG T862,87934
BIG,BILSHST,BILLINGSHURST,87951
BIN,BINGHAM,BINGHAM,55625
BWD,BIRCHWD,BIRCHWOOD,36716
BIK,BIRKBCK,BIRKBECK,88312
,BISHPBA,BISHOPTON BRIT. AEROSPACE,7131
BPT,BISHPTN,BISHOPTON,7132
BTS,BISLND,BURNTISLAND,3291
,BISLNDJ,BURNTISLAND JN,3291
BTE,BITERNE,BITTERNE,86216
,BKBY,BROCKLESBY JN.,21403
BDL,BKDLE,BIRKDALE,36060
,BKDLSDG,BIRKDALE SIDINGS,36059
BHS,BKHLS,BROCKHOLES,18492
BUK,BKNELL,BUCKNELL,79097
,BKNH16,BROCKENHURST SIGNAL BH16,86904
,BKNH62,BROCKENHURST SIGNAL BH62,86904
,BKNHDS,BROCKENHURST DOWN SIDING,86903
BCU,BKNHRST,BROCKENHURST,86901
,BKNHUPS,BROCKENHURST UP SIDING,86902
BKW,BKSWELL,BERKSWELL,69211
,BLACKWL,BLACKWELL,67001
,BLAE2GF,BLAENAU FFESTINIOG NO2 GF,40069
,BLAE4GF,BLAENAU FFESTINIOG NO3 GF,40068
BFF,BLAENAU,BLAENAU FFESTINIOG,40066
BAI,BLAIRHL,BLAIRHILL,6714
BKD,BLAKEDN,BLAKEDOWN,65938
BLT,BLANTYR,BLANTYRE,7486
,BLAR34,BLAIR ATHOLL SIG 3-4,0
BLA,BLARATH,BLAIR ATHOLL,3101
,BLARDS,BLAIR ATHOLL DOWN SIDINGS,3099
BLO,BLAYDON,BLAYDON,13403
,BLBGJN,BLATCHBRIDGE JN,82207
BHO,BLCHSRD,BLACKHORSE ROAD,51555
,BLCKDRJ,DEVONSHIRE ROAD JN,30040
XNS,BLCKNCS,BLACKPOOL NORTH CAR. M.D.,30022
,BLCKNHS,BLACKPOOL NORTH H.S.,30021
BPB,BLCKPB,BLACKPOOL PLEASURE BEACH,30034
BPN,BLCKPLN,BLACKPOOL NORTH,30021
BPS,BLCKS,BLACKPOOL SOUTH,30033
,BLCMJN,BLACKHAM JN,87770
,BLDHR31,BALDHU SIG R31,85531
,BLDHU,BALDHU,85530
BSB,BLEASBY,BLEASBY,55505
,BLEMOR,BLEA MOOR,9445
,BLEMUGL,BLEA MOOR U.G.L.,9446
BCW,BLENCWM,BLAENCWM,0
BHP,BLENHEM,BLENHEIM PALACE,0
,BLF4408,BLACKFRIARS JN TVS4408,88384
XBX,BLFAIRS,BELFAIRS BUS,0
,BLFD,BLACKFORD,3155
,BLFDDCE,BLACKFORD DOWN SDG ISU CE,3154
,BLFDFT,BLACKFORD FREIGHT TERMINAL,3159
,BLFDSJ,BLACKFORD SOUTH JUNCTION,3164
,BLFDUS,BLACKFORD UP SIDING,3158
BFR,BLFR,LONDON BLACKFRIARS,87245
,BLFRJN,BLACKFRIARS JN,88395
XBB,BLFSGPO,BELFAST G.P.O.,0
BFC,BLFSTCL,BELFAST CENTRAL,0
BFQ,BLFSTDQ,BELFAST DONEGALL QUAY,0
BFA,BLFSTPT,BELFAST PORT,0
,BLFSTYR,BELFAST YORKGATE,0
,BLGR783,BELLGROVE SIG YS783,6530
,BLGR785,BELLGROVE SIG YS785,6705
BLG,BLGRVE,BELLGROVE,6701
,BLHSJN,BLACKHOUSE JN,0
BEU,BLIEURD,BEAULIEU ROAD,86896
BBN,BLKB,BLACKBURN,29150
,BLKB444,BLACKBURN SIGNAL 444,29149
,BLKBBBJ,BLACKBURN BOLTON BRANCH JN,29170
,BLKBBFG,BLACKBURN GILBRAITHS,29157
,BLKBBRS,BLACKBURN BOLTON ROAD SDG,29152
,BLKBDJN,DAISYFIELD JN.,29148
,BLKBELS,BLACKBURN EAST LANCS SDG,29153
,BLKBKST,BLACKBURN KING STREET,29154
,BLKBNBJ,BLACKBURN BOLTON JN,29155
,BLKBNHS,BLACKBURN H.S.,0
,BLKBNTS,BLACKBURN TAYLOR STREET,29160
,BLKBSHS,BLACKBURN STATION H.S.,29151
BKH,BLKHTH,BLACKHEATH,88416
BKR,BLKRDGE,BLACKRIDGE,7328
BKT,BLKST,BLAKE STREET,65343
,BLLINUG,BALLINLUIG,3104
BLV,BLLVUE,BELLE VUE,32061
BLN,BLNDLAC,BLUNDELLSANDS & CROSBY,36068
BIL,BLNGHM,BILLINGHAM,15039
,BLNGHMJ,BILLINGHAM JN,15029
,BLNGMAR,BILLINGHAM MARCROFT ENG.,15021
,BLNGRFS,BILLINGHAM RFS ENG,15022
,BLNNBLP,BRYNTEG LOADING PAD,79501
BLZ,BLNRHND,BLAENRHONDDA,0
,BLOX103,BLOXWICH SIGNAL 103,65523
BWN,BLOXN,BLOXWICH NORTH,65517
BLX,BLOXWCH,BLOXWICH,65519
BLK,BLRD,BLACKROD,30221
,BLRDSB,BLACKROD JN. S.B.,30221
BLH,BLSHL,BELLSHILL,7429
,BLSVCL,BOLSOVER COALITE,27114
,BLSVCW,BOLSOVER C&W EWS,27113
,BLSVFHH,BOLSOVER COALITE (FHH),27115
,BLTCCAM,BLETCHLEY CAMBRIDGE SDGS,70295
,BLTCCE,BLETCHLEY CE SDGS,70307
XBL,BLTCCS,BLETCHLEY C.S.,70309
,BLTCDGL,BLETCHLEY RELIEF 1,70299
,BLTCDRJ,BLETCHLEY DRAYTON ROAD JN,70312
,BLTCFHH,BLETCHLEY FREIGHT DEPOT FH,70313
,BLTCFJN,BLETCHLEY FLYOVER JN,70301
,BLTCHFS,BLETCHLEY FIELD SIDINGS,70305
,BLTCHGB,BLETCHLEY CEMEX GBRF,70290
BLY,BLTCHLY,BLETCHLEY,70306
,BLTCHSJ,BLETCHLEY SOUTH JN,70310
,BLTCHTS,BLETCHLEY R.M.C.,70303
,BLTCSN,BLETCHLEY SHUNT NECK,70297
,BLTCSOF,BLETCHLEY SMT OF FLYOVER,70293
XBQ,BLTCTMD,BLETCHLEY T.M.D.,70302
,BLTCUDG,BLETCHLEY UP & DOWN GOODS,70298
,BLTCUGL,BLETCHLEY RELIEF 2,70298
,BLTCWER,BLETCHLEY WATER EATON RD,70291
,BLTCWL,BLETCHLEY SWANBOURNE SDG,70294
XYB,BLTCYD,BLETCHLEY YARD,70300
,BLTNLOS,BOLTON-UPON-DEARNE LOS,24010
BTD,BLTNODR,BOLTON-UPON-DEARNE,24011
BEG,BLTRNAB,BELTRING,89329
,BLUANCR,BLUE ANCHOR (KENT),88412
,BLWLOC,BLINDWELLS OPENCAST,4813
,BLYBCRL,CRESSWELL,43505
BYB,BLYBDGE,BLYTHE BRIDGE,43503
,BLYBLLC,LEIGH LEVEL CROSSING,43510
,BLYTCPS,CAMBOIS POWR STATION BLYTH,12234
,BLYTCW,BLYTH EWS C&W,12231
,BLYTLIP,BLYTH CAMBOIS L.I.P.,12230
BMB,BMBRBDG,BAMBER BRIDGE,30133
,BMBRCE,BAMBER BRIDGE ISU (CE),30131
,BMBRRS,BAMBER BRIDGE ENG REC SDG,30140
,BMBRWI,BAMBER BRIDGE WHITTLE INT.,30132
,BMFRLNJ,BAMFURLONG JN,35155
BML,BMHL,BRAMHALL,32579
BMY,BMLY,BRAMLEY (HANTS),86061
BAN,BNBR,BANBURY,69424
,BNBR32,BANBURY SIGNAL BS32,69430
,BNBR734,BANBURY SIGNAL OL7134,69436
,BNBR743,BANBURY SIGNAL OL7143,69437
,BNBRDGL,BANBURY DOWN GOODS LOOP,69435
,BNBRDJ,BANBURY DEPOT JN,69416
,BNBRDPT,BANBURY DEPOT,69410
,BNBRDR,BANBURY DEPOT RECEPTION,69417
,BNBRJN,BANBURY JN.,69422
,BNBRNJ,BANBURY NORTH JUNCTION,69419
,BNBRRJN,RESERVOIR JUNCTION,69438
,BNBRRN,RESERVOIR NECK,69439
,BNBRRS,RESERVOIR SIDINGS,69445
,BNBRUGL,BANBURY UP GOODS LOOP,69421
,BNBRYFY,BANBURY RESERVOIR F.Y.,0
,BNBRYRA,BANBURY RESERVOIR TARMAC,69428
,BNDO063,BRANDON SIGNAL EN8063,46249
,BNDO1,BRANDON SIGNAL B1,0
,BNDO19,BRANDON SIGNAL B19,46251
,BNDO2,BRANDON SIGNAL B2,0
,BNDODSD,BRANDON DOWN SIDINGS,46265
,BNDODSU,BRANDON UP REFUGE SIDINGS,46262
BND,BNDON,BRANDON,46264
,BNDONGL,BRANDON DOWN GOODS LOOP,46263
,BNDSBPL,BOUNDS GREEN BY PASS,0
,BNDSGNY,BOUNDS GREEN NEW YARD,54101
XGD,BNDSGRN,BOUNDS GREEN T&R.S.M.D,54101
,BNDSGRW,BOUNDS GREEN WASHER,54101
,BNGRD,BINGHAM ROAD,0
BIY,BNGY,BINGLEY,17016
BNM,BNHAM,BURNHAM,73996
BNL,BNHL,BARNHILL,6523
,BNHOUSE,BURNHOUSE,7355
,BNHTX,BENTLEY HEATH CROSSING,66463
BAH,BNKHALL,BANK HALL,36075
,BNKJN,BANK JN,8829
BEY,BNRHYDN,BEN RHYDDING,17054
,BNRTH,BRIDGNORTH,65951
BNI,BNSBDGE,BARNES BRIDGE,87150
BUD,BNSD,BURNESIDE,11005
,BNSL071,BARNSLEY SIG 1071,24388
,BNSL305,BARNSLEY SIG 2305,24386
,BNSL310,BARNSLEY SIG 2310,24387
BNY,BNSLY,BARNSLEY,24385
,BNTB27,BARNETBY SIGNAL BE27,21416
,BNTB801,BARNETBY GPL CB8801,21417
,BNTBCRR,BARNETBY SDGS COLAS RAIL,21414
,BNTBDS,BARNETBY EA LWR SDG OTM,21411
,BNTBFHH,BARNETBY DN RECP SDG (FHH),21412
,BNTBRSF,BARNETBY EA FUEL POINT SDG,21413
,BNTBS43,BARNETBY SIGNAL CB8843,21418
,BNTBUS,BARNETBY UP SIDINGS,21411
BTB,BNTBY,BARNETBY,21415
BTY,BNTEY,BENTLEY,87024
BFD,BNTFORD,BRENTFORD,87144
BEN,BNTHAM,BENTHAM,11563
,BNTLEY,BENTLEY (SUFFOLK),49300
,BNTNKCL,BENTINCK COLLY SDGS,56302
,BNWDJN,BARNWOOD JN.,68082
,BNWDSDG,BARNWOOD SDGS,68083
BRW,BNWK,BRUNSWICK,36082
,BOATGBF,BOAT OF GARTEN GBRF,1148
BGR,BOATOFG,BOAT OF GARTEN,1143
BUM,BOCHUM,BOCHUM HBF,23
,BODM042,BODMIN SIG LL1042,85013
,BODM043,BODMIN SIG LL1043,85014
,BODMINS,BODMIN SDG,85012
,BODMNGS,BODMIN GENERAL STATION,0
BDF,BODMNMF,BODMIN MOUNT FOLLY,0
BOD,BODMNPW,BODMIN PARKWAY,85011
,BODMTSB,BODMIN TSB BUS STOP,0
BOR,BODORGN,BODORGAN,40017
,BOGHTNJ,BOUGHTON JN,28509
,BOGNBAL,BOGNOR REGIS (BALLAST),86440
XBN,BOGNCHS,BOGNOR REGIS C.H.S.,86441
,BOGNMR,BOGNOR REGIS MIDDLE ROAD,86441
BOG,BOGNORR,BOGNOR REGIS,86441
,BOGNS55,BOGNOR REGIS SIGNAL BR55,86444
,BOGNSID,BOGNOR REGIS SIDINGS,86443
BGS,BOGSTON,BOGSTON,7028
,BOKNTRE,BOAT OF KINTORE,2040
,BOLGHVP,BOULOGNE HOVERPORT,0
BOU,BOLGNEM,BOULOGNE MARITIME,0
,BOLTNCS,BOLTON C.S.,31620
BON,BOLTON,BOLTON,31620
BMH,BOMO,BOURNEMOUTH,86921
,BOMO011,BOURNEMOUTH SIG BC1011,86920
,BOMO21,BOURNEMOUTH SIGNAL 21,86926
,BOMOCS,BOURNEMOUTH C.S.D.,86923
XBM,BOMOCSD,BOURNEMOUTH T&R.S.M.D,86923
,BOMODD6,BOURNEMOUTH DEPOT D6,0
,BOMOEWS,BOURNEMOUTH T&RS DEPOT,86922
BHA,BOMOHAP,BOURNEMOUTH HURN AIRPORT,86928
,BOMOMS,BOURNEMOUTH MIDDLE SDGS,86924
,BOMOUPS,BOURNEMOUTH UP SIDING,86925
,BOMOXTN,BOURNEMOUTH EXTENSION,0
BDS,BONDST,BOND STREET,73112
XOE,BONENDJ,BOURNE END JN (HERTS),71009
BNJ,BONNHBF,BONN HBF,31
,BONSDPL,BO'NESS D.P.L.,5116
,BONSGBF,BO'NESS GBRF,5123
,BONSRPS,BO'NESS JN EXCHANGE SDG,5115
,BONSS,BO'NESS,5115
,BONSSGF,BO'NESS G.F.,5118
,BONSSJ,BO'NESS JN,5117
,BONSXSG,BO'NESS EXCHANGE SDGS GBRF,5124
BKA,BOOKHAM,BOOKHAM,87072
,BOORCCE,BRIDGE OF ORCHY C.E.,6038
,BOORCGF,BRIDGE OF ORCHY GF,6067
BRO,BOORCHY,BRIDGE OF ORCHY,6037
,BOOT031,BOOTLE JN SIGNAL 1031,36074
,BOOT032,BOOTLE JN SIGNAL 1032,36074
,BOOTDUG,BOOTLE DOWN & UP GDS LINE,36085
,BOOTLBJ,BOOTLE BRANCH JN,36600
BOC,BOOTLE,BOOTLE,11209
,BOOTLEJ,BOOTLE JN,36074
BNW,BOOTLNS,BOOTLE NEW STRAND,36071
BOT,BOOTLOR,BOOTLE ORIEL ROAD,36072
XOP,BOPEEPJ,BOPEEP JN S.B.,88284
,BORDBAS,BORDEAUX-BASTIDE,792
BDZ,BORDON,BORDON CAMP (FIRE STATION),0
BOX,BORDSTJ,BORDEAUX ST. JEAN,792
XIB,BORGSTM,BOURG ST MAURICE,768
